,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
0,164,136505932,203169672,888550,0,51752,0,172539342,35682,22.93,5.43,99.4
1,3773,237644527,298149394,1574954,339968,111397,664,244701953,71456,22.69,5.33,108.8
2,3486,313443482,398570196,1603796,0,81105,0,361507079,122540,22.49,5.28,92.9
3,185,167950010,244056463,1096141,0,9122,0,164778932,36855,22.23,5.18,92.8
4,1060,146122507,220196875,976194,888832,9533,1736,184278411,50111,21.99,5.12,92.8
5,7496,327021697,419704186,1991095,0,92418,0,317617205,89840,22.73,5.34,92.8
6,30,158819937,210620012,1188748,368640,7522,720,156089996,56973,22.27,5.15,93.0
7,4114,224960342,304966931,1472469,0,64544,0,228822058,65910,22.28,5.23,129.0
8,738,183459766,274205141,1175301,0,18400,0,222759801,74558,22.17,5.17,96.6
9,34,109363239,185000419,737962,0,3145,0,130665811,65901,22.03,5.02,96.2
10,1234,187287997,240418045,960978,0,17948,0,196053503,34030,21.9,5.08,95.8
11,199,124679348,186991330,999090,139264,3600,272,163521744,29002,22.14,5.03,95.5
12,7339,208109022,270471060,1090686,0,98989,0,220340992,83179,22.14,5.2,95.2
13,960,181492137,273006787,1165535,0,20036,0,253396888,92373,22.0,5.2,94.9
14,160,119810768,192794681,780012,0,4064,0,123681361,45952,22.11,4.99,94.8
15,171,121077027,213467295,943654,28672,1753,56,135024368,39793,21.95,4.97,94.5
16,454,132049811,193943423,849808,741376,61834,1448,162760179,26221,23.15,5.35,94.4
17,19245,252961672,342569783,1935878,0,173264,0,295724081,91446,26.93,5.68,94.1
18,2192,195568989,326448050,1981694,0,68099,0,236652919,89649,22.49,5.34,94.0
19,151,133641262,187710938,801787,0,5420,0,136266169,33168,22.08,5.07,93.8
20,58,124686169,201938588,1006462,0,2805,0,133774447,46380,22.04,4.99,93.6
21,484,138177166,186258888,820208,1429504,36825,2792,168102638,36179,22.11,5.06,93.5
22,10509,322000070,382875037,1898384,0,96545,0,306192565,93861,24.17,5.85,93.4
23,10248,315327128,429548859,2384678,0,57653,0,375744437,77504,22.6,5.52,93.3
24,378,150625283,240591805,979593,0,6916,0,174485134,42518,22.57,5.48,93.2
25,45,100345832,163350589,832659,0,1494,0,86163204,46125,22.06,4.98,93.1
26,63,139459567,213854880,1053360,827392,2974,1616,175985351,45313,22.06,5.0,93.1
27,7679,206863771,268684747,1282163,0,87126,0,200267917,87967,22.31,5.22,93.0
28,1041,176481745,261455747,1140105,0,18346,0,224657597,54562,22.11,5.18,93.0
