,LLC-stores,instructions,bytes,blocks,LLC-loads,LLC-load-misses,ref-cycles,cycles,LLC-store-misses,pkg_pwr,ram_pwr,power
0,32593,167572486,0,0,963954,55331,231871465,180161796,11,23.01,5.46,117.3
1,73908,215053888,540672,1056,1357790,93130,292517829,198835819,4248,22.42,5.26,97.3
2,102711,275631975,0,0,1711431,44906,371283458,295161220,4964,22.52,5.26,96.9
3,83043,316063812,2293760,4480,1724740,110903,416967071,296108275,10452,22.75,5.53,96.5
4,99079,383183138,0,0,2168292,207891,489763850,329642997,13699,22.64,5.59,96.1
5,75863,268700229,1290240,2520,1384782,20755,360245606,262430877,12552,22.49,5.47,96.0
6,72553,428106909,741376,1448,2129949,298629,467499129,363269334,24438,22.88,5.66,123.3
7,131917,500298992,0,0,2184120,285600,598081894,444024935,26543,22.95,5.6,101.6
8,64825,312471576,143360,280,1955992,305482,438008211,271946555,19717,22.96,5.61,94.4
9,54668,139535316,0,0,1071521,20978,247718224,139295283,559,22.09,5.14,94.5
10,38839,114423159,245760,480,940641,128278,180007755,152691587,3816,32.82,6.42,94.5
11,104917,218837370,65536,128,1191112,178501,275992855,226363885,12179,23.96,5.4,115.3
12,62040,135713162,0,0,1097449,24673,237264468,145781919,265,22.18,5.17,115.4
13,25629,114664928,0,0,772386,5326,169168337,129968136,311,22.01,5.08,115.1
14,24332,151733645,0,0,1007978,4389,228997974,149481017,317,21.98,5.06,94.4
15,40017,201441152,888832,1736,1375760,75156,260994216,204637988,7007,22.25,5.25,94.5
16,167131,318727384,598016,1168,2089397,288954,456076999,350344134,17260,35.22,6.81,94.7
17,84532,209998854,0,0,1440490,74322,296836447,170666856,5535,26.11,5.46,95.0
18,47223,112016342,0,0,1152053,16760,257671036,90776224,703,22.08,5.2,131.5
19,95230,245026179,0,0,1492509,84533,331334593,265332298,6674,22.57,5.32,131.7
20,52531,162536494,0,0,1232436,13512,241509565,154742485,888,22.12,5.32,132.0
21,77014,333523386,1687552,3296,2250542,175863,413542375,318514848,2658,32.1,6.21,132.3
22,64725,238022480,0,0,1709427,179278,325860678,233110494,8660,32.24,6.39,132.5
23,88673,273027430,28672,56,1945863,75702,350400006,256284414,3494,31.58,5.89,132.6
24,98064,191935079,0,0,889703,22532,295482123,223492812,1175,22.2,5.31,132.8
25,91671,240978802,0,0,1339856,64786,311749026,250310630,7543,22.81,5.27,132.9
26,100366,383611560,1056768,2064,2391531,279195,453826239,340913656,16205,22.94,5.43,133.1
27,47940,153203434,0,0,932792,54363,214027073,185532566,2324,23.12,5.54,133.2
28,51594,179532601,19476480,38040,1013404,50445,217534013,187945028,3259,40.04,6.7,133.3
29,55879,120226262,0,0,915569,381595,207027246,141348111,9127,42.38,7.19,133.4
30,76304,222526770,0,0,1346054,402290,295058298,227431219,30352,42.39,7.12,133.4
31,75817,265965658,454656,888,1491268,437052,313428067,270135227,16419,42.45,7.12,133.5
32,68801,198916274,0,0,1186056,272577,234469353,231147837,6871,42.46,7.07,133.6
