,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
0,965,379375279,361081400,1993196,0,70815,0,443438980,58370,28.88,5.95,130.8
1,838,183303544,312111541,2615233,1490944,70475,2912,307346693,143263,30.25,5.69,113.5
2,6493,408914201,571260432,4052360,253952,157671,496,556112326,255424,29.64,5.72,105.1
3,7272,312486345,430659793,2737017,0,438020,0,361748871,103337,40.17,6.85,104.7
4,7451,308969215,333636332,2397580,28672,164786,56,410561820,212920,30.19,5.86,104.3
5,1616,322863178,495619833,3920807,0,32041,0,476936388,219135,28.58,5.5,104.8
6,500,280407182,424686825,3760741,0,52205,0,414426041,191350,26.11,5.36,110.6
7,213,241567527,272075459,2278268,512000,39620,1000,309690982,78044,26.0,5.4,101.1
8,2035,335738056,434706888,2817198,0,182500,0,412251065,177125,29.26,5.58,107.6
9,3790,374356650,532408770,4441994,0,47149,0,556819337,193622,30.23,5.54,98.3
10,710,265612419,334393288,2618559,0,92786,0,356008838,120159,26.15,5.46,104.4
11,700,288280635,483843768,3294433,0,81569,0,450047374,184913,28.94,5.41,104.3
12,619,224362225,340709330,1950785,167936,29350,328,338229375,84078,24.05,5.39,104.9
13,5955,301580560,500599098,3967281,0,226299,0,386740151,230554,28.33,5.64,104.8
14,861,300254069,370107828,2595694,0,34453,0,445502462,141992,26.58,5.54,104.5
15,125,202306284,296490038,2358522,0,39807,0,281073422,107639,29.18,5.35,103.9
16,377,241772471,296357310,3060277,0,34185,0,373150479,236998,27.73,5.41,110.1
17,376,337429612,497903834,3596393,225280,49690,440,486634331,169016,26.8,5.35,101.9
18,7383,257087579,318589369,2361705,0,217244,0,353825602,132662,24.97,5.62,101.7
19,716,282691727,447678486,3655864,17936384,57113,35032,412440784,139047,30.44,5.53,101.6
20,208,254161296,391118079,2735599,0,72177,0,331572780,119075,25.63,5.44,118.3
21,82,282348339,397997811,2780278,0,36905,0,445522339,114626,25.29,5.4,111.8
22,203,278683872,523954973,3334412,225280,42082,440,428930971,185219,26.53,5.52,98.4
23,7478,345715157,497619783,4258177,143360,270817,280,389893184,168673,35.08,6.09,107.9
24,6819,325850784,357891885,2403823,0,297888,0,368939260,153428,29.05,5.85,96.4
25,3138,173667486,286459336,2096111,0,90994,0,232718541,102141,23.93,5.57,97.0
26,486,358899320,491453803,4282992,0,34309,0,472126307,147569,29.39,5.48,111.3
27,1008,137005322,147265646,1157709,1601536,31963,3128,151457502,78653,23.25,5.39,111.0
28,2092,380221885,456266960,2797473,57344,213353,112,526579816,88531,26.15,5.69,131.8
29,626,358377640,495528763,4309674,344064,76415,672,501217124,258188,31.57,5.55,104.7
30,7629,312099896,510414344,3081852,0,209172,0,434570354,148231,30.16,5.87,114.0
31,12510,322927085,508097915,4341561,0,498290,0,439754645,320166,40.28,6.79,127.2
32,1733,170290934,231108368,1486402,225280,66303,440,197655753,73545,25.38,5.57,109.0
33,2757,372029112,582641360,4372407,716800,322312,1400,572690763,180992,33.78,6.02,108.4
34,1868,416689585,466623096,3291592,0,329716,0,519582404,83281,38.13,6.49,107.9
35,3691,224486612,329006770,2626998,0,49729,0,334496590,111341,27.75,5.52,113.5
36,527,396401297,542263488,4325017,0,55962,0,619988957,251801,28.65,5.47,132.3
37,220,188340014,369377586,2488846,1458176,60061,2848,271769490,70585,26.49,5.39,132.3
38,3844,436660537,480732661,3034359,28672,296237,56,569369704,180989,33.3,6.2,132.4
39,8680,198274520,302977215,2629507,0,201377,0,271015327,136676,40.35,6.84,132.7
40,21813,368793591,465554932,4147095,0,457007,0,594949276,165453,40.07,7.41,140.3
41,13184,153819707,202320291,1288448,0,343102,0,194319014,75924,40.01,7.71,140.4
42,11390,183187513,212157287,1844910,454656,346547,888,179100737,54314,41.54,9.05,140.5
43,31045,198168220,253111578,2524002,0,429929,0,265696440,117873,43.48,10.31,140.4
44,10514,171650304,234816351,1464299,0,491832,0,200602179,56850,44.12,10.94,140.6
45,10786,301955502,425765432,3356777,0,775640,0,457567511,146587,43.19,10.06,140.3
46,8832,195745864,317936456,1913130,0,570346,0,256596436,94823,43.55,10.35,140.3
47,5410,181513065,199404289,1140576,483328,558365,944,271641998,50101,43.81,10.63,140.2
48,30943,464778589,649856624,4831195,0,757427,0,606791390,191478,42.7,9.41,140.1
49,47295,249171758,305917986,2789066,0,346067,0,338977906,131992,43.32,10.13,140.1
50,15140,271198473,509873623,3843750,26320896,505697,51408,410739297,179004,43.04,9.82,140.2
51,19201,272313691,432258208,2629078,0,376995,0,452029510,210117,42.9,9.63,140.1
52,18160,286111244,411465517,3086624,225280,506373,440,356082036,120254,43.49,10.24,140.3
53,26210,235590600,233975183,1614515,0,511157,0,270192550,119447,43.89,10.51,140.2
54,15709,359241566,521752214,3515682,0,658270,0,519022393,149217,43.02,9.69,140.4
55,15079,214693097,251424861,1845899,28672,421702,56,321448586,107076,43.88,10.42,140.6
56,35799,328900865,479484868,3885488,0,445694,0,491231250,183665,43.08,9.74,140.5
57,14204,168671122,191818574,1065138,425984,358049,832,182173390,82163,44.12,10.64,140.5
58,8165,237348011,304363396,1551102,0,690173,0,246969927,23563,43.76,10.32,140.5
59,18637,314375464,450760542,3433819,0,442497,0,387185266,106434,43.59,10.13,140.6
60,20882,298875498,372923350,3178553,344064,409319,672,428833164,172805,43.53,10.16,140.7
61,8507,325053253,388425423,3709449,0,500924,0,483337261,174236,43.08,9.73,140.6
62,14177,181728704,245864467,1422911,225280,381417,440,235167864,59897,43.86,10.48,140.7
63,22854,279182523,294781770,1859013,0,547358,0,327059685,111781,43.38,9.96,140.9
64,15002,348101069,501310178,4135462,0,551620,0,521621047,231862,43.14,9.82,141.0
