,LLC-stores,instructions,bytes,blocks,LLC-loads,LLC-load-misses,ref-cycles,cycles,LLC-store-misses,pkg_pwr,ram_pwr,power
0,278491,885622270,0,0,3658369,161069,685243750,605772661,8074,29.2,5.83,105.5
1,128814,233916755,3072,6,1461171,82966,339747460,255725815,3825,22.95,5.35,115.4
2,60754,237498784,0,0,2060478,57784,362635210,236782998,4997,22.88,5.35,97.5
3,62619,162986467,0,0,1350093,7055,242264441,180926736,338,22.36,5.17,97.3
4,34965,140764192,253952,496,902583,2772,186027828,177300729,86,22.25,5.0,96.9
5,103876,227994285,1462272,2856,1550719,94418,332562341,255693425,4658,22.46,5.2,96.5
6,112321,251538782,86016,168,1947149,282337,388267331,281331901,11696,32.88,5.98,96.3
7,40154,216473424,0,0,1740511,203361,287003920,172210066,1830,39.75,6.08,108.2
8,67468,168252716,0,0,939332,50542,212479094,196241564,1827,39.79,5.91,129.0
9,45817,119052260,1744896,3408,744236,38791,151358622,147497495,431,39.85,5.91,128.9
10,71421,217954706,0,0,1122538,156078,231370009,224065434,7919,39.87,6.04,128.9
11,63418,146948983,0,0,850846,45561,188632090,161071502,628,39.78,6.01,128.9
12,28199,199241660,114688,224,1548087,177109,262096411,193021809,1086,39.9,6.04,128.9
13,38875,92023356,0,0,1030667,34926,166016104,81493444,684,39.95,5.97,128.9
14,24472,114926688,311296,608,1021247,31960,155658427,125275789,323,39.82,5.77,128.8
15,61303,161642362,0,0,1166470,154763,239362239,167146569,4326,39.91,6.02,128.8
16,44572,92712918,0,0,695639,43082,130764099,115239985,749,39.92,5.94,128.8
17,57222,190060290,0,0,1005465,101579,206686001,143844790,898,39.85,5.96,128.8
18,48597,140290610,0,0,790868,44129,190257213,168897973,531,39.88,5.8,128.8
19,33797,131492101,311296,608,795781,21884,157745949,139868631,300,39.9,5.67,128.7
20,23297,151458228,0,0,1194580,136181,213941728,170956424,7131,39.97,5.94,128.7
21,45505,137008630,0,0,816943,57983,178603959,137720366,1665,40.03,6.01,128.7
22,47193,144787961,6365184,12432,942609,36269,183138135,162452881,1273,40.01,5.86,128.7
23,39287,123747477,0,0,764407,20848,155397965,130841526,714,39.95,5.75,128.7
24,37966,131485616,196608,384,901899,27422,166084844,130644148,2542,40.02,5.81,128.7
25,59234,221053034,28672,56,1239112,203209,239304087,199013167,5005,40.03,5.99,128.7
26,79599,164695562,0,0,1002459,48386,208900306,160473944,1693,39.97,5.85,128.7
27,47306,115238294,0,0,844769,23964,148688330,134944356,1205,40.03,5.75,128.7
28,43469,106288644,0,0,983455,37414,147962471,104878584,872,40.07,5.74,128.7
29,29239,105908717,196608,384,822834,14157,130378954,120763024,751,40.03,5.71,128.7
30,71297,207321518,0,0,1274029,154505,218072490,200461282,9719,40.06,5.89,128.6
31,63287,134242422,0,0,927877,49981,191452346,157259590,1328,40.01,5.81,128.7
32,22033,107601654,0,0,619584,22152,139279444,128317172,440,40.0,5.72,128.7
33,47145,139436009,0,0,812587,30257,174736757,159781104,676,40.06,5.74,128.7
34,37240,121390875,24076288,47024,800590,25075,155360432,144160770,617,40.03,5.77,128.6
35,73872,188496155,0,0,1325906,148222,253661444,173699793,13509,40.03,5.96,128.6
36,32185,98812680,0,0,794045,44146,134737266,117175572,1001,40.08,5.9,128.7
37,44764,107669523,0,0,683037,29832,139526260,100755337,67,40.03,5.75,128.7
38,35857,142147605,0,0,929049,29296,172551293,143166190,105,40.08,5.73,128.7
39,38025,134578122,225280,440,974868,29235,173306202,152895783,119,40.12,5.77,128.7
40,64687,182817002,0,0,1268697,167536,209492975,150296303,7245,40.1,5.97,128.7
41,43724,86996672,0,0,860082,33458,136943688,93619444,914,40.02,5.84,128.8
42,57752,120813852,0,0,898095,26050,190325849,113403045,677,40.04,5.76,128.8
43,23631,77373514,0,0,627169,29814,110818631,69985958,156,40.0,5.75,128.8
44,34418,114696247,110592,216,975060,20272,169401557,113878530,36,40.05,5.71,128.7
45,20430,185294843,0,0,1157032,157190,202921123,171932209,364,40.06,6.0,128.7
46,39944,144152446,0,0,1031768,43642,201932395,125143721,421,39.98,5.81,128.7
47,19419,110968275,0,0,808423,21799,127282103,104827209,212,39.95,5.73,128.8
48,10124,95530767,0,0,753563,14380,128059966,111790911,298,39.9,5.7,128.7
49,40681,133628043,110592,216,1023400,29485,176187648,110770994,1275,39.94,5.7,128.7
50,61925,209938351,0,0,984421,148622,221294855,207498936,8791,39.9,6.02,128.7
51,32111,100881030,0,0,868370,36612,166064984,100417810,985,39.9,5.86,128.7
52,55703,98810872,0,0,628226,24660,127877944,124516229,565,39.87,5.73,128.7
53,61575,126333913,0,0,904480,19867,174360671,142633470,443,39.87,5.63,128.7
54,37036,93206063,110592,216,683026,12060,123343406,84817622,378,39.92,5.65,128.6
55,80061,221950088,0,0,1226083,185168,282621764,219018230,9983,40.03,5.96,128.6
56,23733,124606943,0,0,919016,37074,154336049,137741297,85,39.95,5.81,128.7
57,33692,112475085,0,0,906010,26259,151806184,135199346,295,39.93,5.7,128.8
58,18922,99870353,0,0,673194,18013,129934548,122966598,75,39.96,5.68,128.8
59,29540,77507133,110592,216,742270,15516,142073040,80362903,78,40.0,5.64,128.8
60,56675,244266541,0,0,1359352,160326,277255515,219395924,1297,40.02,5.98,128.8
61,22698,72099070,0,0,896532,28885,136744196,60438406,950,39.97,5.82,128.9
62,25339,67250606,0,0,801133,16057,113757317,47591876,739,39.97,5.76,128.9
63,34365,119886883,0,0,1030571,20393,176700302,104057294,875,39.99,5.68,128.9
64,34136,75419855,18190336,35528,546580,14567,92465880,75341180,856,39.95,5.69,128.9
65,57232,205934418,0,0,1390161,160377,227090074,224078994,9221,40.01,5.93,128.9
66,32226,105656978,0,0,799378,29216,125257262,126018953,1522,39.93,5.84,129.0
67,35858,98695817,0,0,830181,24755,138077208,97501467,874,39.95,5.71,129.0
68,34941,119088906,0,0,801001,18474,162723648,130081820,483,39.88,5.64,129.0
69,19891,90047260,196608,384,618581,11678,105976269,108614126,465,39.89,5.68,128.9
70,72419,185882578,0,0,1133042,190361,229190790,160595234,7130,40.01,5.91,128.9
71,68251,166172113,0,0,874062,39844,198133156,190051044,1803,39.98,5.79,129.0
72,32398,99989906,0,0,714270,23186,135086182,124316969,682,39.99,5.71,129.0
73,39556,94558695,0,0,460999,20172,125957139,115477360,216,39.96,5.69,129.0
74,52666,162010211,196608,384,928219,66505,189205382,148990466,311,39.93,5.75,128.9
75,74491,170673663,0,0,1229028,146858,241700010,145422119,726,39.97,5.96,129.0
76,29995,118581631,0,0,791787,28682,158198828,100188784,239,39.96,5.79,129.0
77,35459,100151399,0,0,785697,23650,132178565,119401636,542,39.96,5.71,129.0
78,48391,134852547,0,0,1034737,27061,179108501,141186201,1590,39.93,5.75,129.0
79,38528,93197502,110592,216,807608,19157,138458347,68537480,223,39.94,5.68,129.0
80,48735,171676322,0,0,1236614,157417,207621408,77194285,5496,40.02,5.98,129.0
81,19315,104633223,0,0,749923,50973,132321080,63435808,247,40.0,5.78,129.0
82,52232,130436122,0,0,960326,39416,171325043,151110851,336,40.0,5.75,129.0
83,9785,77315097,0,0,765707,29374,110869095,63800546,74,39.98,5.72,129.0
84,38406,116863408,110592,216,852072,18067,161101424,105738310,227,39.99,5.64,129.0
85,44723,192844066,0,0,1502953,182969,274019213,190558138,6669,39.98,5.95,129.0
86,46032,118728122,0,0,872733,36751,164967900,132356327,309,39.98,5.82,129.0
87,38972,95250025,0,0,755392,26308,138784011,87139572,308,39.99,5.73,129.0
88,29826,121992572,0,0,622984,23243,157183455,137172723,369,39.92,5.71,129.0
89,28321,77918761,110592,216,715671,19623,124393110,80235590,313,39.96,5.67,129.0
90,55038,208710028,0,0,1183694,156146,215217989,207530484,6954,39.97,5.95,129.0
91,33302,79485639,0,0,848019,44746,153831004,89572936,243,39.96,5.79,129.0
92,52080,131205931,0,0,1040876,33480,192557868,131276896,674,39.96,5.76,129.1
93,34740,103627330,0,0,844653,17711,132970473,118353618,423,39.96,5.72,129.1
94,17117,78565293,110592,216,780446,15108,135877900,90051170,758,39.93,5.69,129.0
95,82684,228520338,17838080,34840,1105736,157602,256267106,231392096,13322,40.03,5.99,129.1
96,124259,273525299,0,0,1696010,317320,342501009,290635729,8687,37.82,5.91,129.1
97,69892,287754138,10657792,20816,1737931,157413,420920196,292924474,6784,23.67,5.52,129.2
98,43806,198784648,7647232,14936,1258604,39515,283913169,215710907,411,22.68,5.32,106.3
99,35730,207524676,6717440,13120,1236264,11210,295287585,196795432,752,22.64,5.28,98.1
100,62632,241382811,7213056,14088,1687352,114249,328890000,253003833,6076,22.88,5.46,97.9
101,40142,215076295,7442432,14536,1389116,7855,296017535,225692498,1073,22.62,5.32,97.9
102,125843,262106851,6856704,13392,1385548,91407,338847519,265903696,4183,23.08,5.4,97.7
103,52394,191783660,7761920,15160,1217105,8013,261770604,226327956,601,22.65,5.29,97.6
104,52972,191650084,6754304,13192,1364470,11011,293484174,181002901,487,22.56,5.25,97.7
105,85847,242820138,6991872,13656,1577311,101846,340188451,263453437,4269,22.74,5.43,97.5
106,53342,170149005,7380992,14416,1102981,6079,266499888,162667203,206,22.49,5.25,97.5
107,54207,246434157,6774784,13232,1639036,6213,366848500,276091090,539,23.03,5.32,97.4
108,39725,157097156,8376320,16360,1058594,5612,226814858,165267659,2740,22.61,5.3,97.3
109,36408,190987796,7675904,14992,1037801,5276,247137872,162134597,947,22.42,5.16,97.3
110,102863,273529960,7872512,15376,1610289,113383,354024424,302092807,8493,22.83,5.41,97.2
111,55351,132117531,7495680,14640,1089464,11703,202134138,155504261,1241,22.56,5.24,97.2
112,37894,129065010,7270400,14200,971403,2636,217624449,148768583,1004,22.57,5.22,97.2
113,56216,198085808,7335936,14328,1213509,6007,299918609,231532932,1263,22.43,5.21,97.0
114,45296,150433833,6971392,13616,1088531,8920,258755111,163050180,771,22.52,5.26,97.0
115,75986,296483160,7782400,15200,1807734,84338,404304117,269739689,7963,23.04,5.41,96.9
116,41697,177475662,7356416,14368,1281594,5508,265013206,191175986,198,22.59,5.28,97.0
117,35068,176405187,7376896,14408,1039451,4422,244272722,204827391,127,22.68,5.23,97.0
118,46076,192407889,7106560,13880,1252769,3791,285580699,210239185,139,22.53,5.17,96.9
119,47338,161811966,7663616,14968,1108698,5416,227521026,190524996,92,22.61,5.21,96.8
120,54674,271472066,9637888,18824,1586322,92830,337682091,266083045,5176,23.05,5.38,96.8
121,82179,238219267,8224768,16064,1484747,18879,333665715,287638621,594,22.59,5.26,96.9
122,37155,173420252,9052160,17680,1001284,7729,241467966,155397863,244,22.57,5.23,96.9
123,60052,170884324,8695808,16984,980448,4808,241756833,143655788,2063,22.6,5.26,96.9
124,79705,211928843,8884224,17352,1112228,3072,295925552,260405121,733,22.51,5.14,96.8
125,70637,260833700,8605696,16808,1571682,87044,341654353,283294209,8074,22.91,5.47,96.7
126,85885,209692554,8560640,16720,1244753,7081,319481029,226565798,1643,22.58,5.31,96.9
127,69382,158921415,8372224,16352,885844,3873,228157146,196807906,779,22.44,5.21,96.9
128,46793,148866936,8560640,16720,849736,4118,213534493,187829427,352,22.57,5.23,96.8
129,70367,191914078,8486912,16576,1176591,2702,310603589,230329721,431,22.35,5.15,96.7
130,67494,232068423,9023488,17624,1570581,99278,314925065,185946356,9768,22.69,5.42,96.7
131,43072,154311250,8871936,17328,1141612,5843,252094139,159416852,413,22.7,5.26,96.7
132,50050,200203340,8335360,16280,1318147,16128,338341918,240350961,257,22.4,5.19,96.8
133,54220,142594487,8290304,16192,924827,2152,224056822,177190403,483,22.36,5.22,96.7
134,32871,135987582,9162752,17896,949300,1713,221571842,150418312,740,22.51,5.16,96.7
135,127186,329382581,9236480,18040,1561512,81907,403996021,373708386,8452,22.77,5.41,96.6
136,45121,159116861,8785920,17160,1100094,4944,264240160,202395442,258,22.54,5.26,96.7
