,LLC-store-misses,bytes,LLC-load-misses,cycles,LLC-stores,ref-cycles,instructions,LLC-loads,blocks,pkg_pwr,ram_pwr,power
0,8109,0,141046,295777423,79051,350080479,234678562,1842096,0,27.24,5.74,120.1
1,3263,1601536,77629,490594913,157779,589109220,396685157,3539554,3128,24.4,5.33,98.4
2,113,0,9613,321155049,119493,407016953,241109645,2713281,0,25.01,5.09,98.4
3,103,0,7814,491581208,199088,550485435,314867377,3656476,0,24.79,4.99,98.2
4,79,0,7115,294607495,110472,346053581,204085053,2326189,0,24.89,5.07,98.2
5,3312,0,127151,508445697,205517,545682947,385733998,3416587,0,25.79,5.27,98.3
6,521,110592,10481,443506914,138866,470626235,305165124,2941322,216,24.01,5.13,98.4
7,220,0,2190,413155954,151432,456503116,282461883,2851920,0,23.92,4.95,98.3
8,395,0,47548,328373714,105157,345509938,255427501,1868766,0,24.01,5.07,97.9
9,320,0,27982,468088273,175869,524560685,325164217,3261836,0,24.67,5.09,97.8
10,14740,143360,220211,518024746,198631,591332668,421106107,3655599,280,26.38,5.57,97.9
11,2114,1286144,28568,363503545,139008,410318167,270781569,2677073,2512,24.81,5.21,98.3
12,5355,0,97245,650229825,252669,727016054,471394603,5020313,0,27.21,5.31,98.9
13,2535,0,28222,367248899,151706,440672838,263251247,3013143,0,26.13,5.4,99.1
14,7005,0,48575,520619472,227343,564305880,353819266,4407240,0,32.13,5.75,109.6
15,13653,688128,164393,424163959,176430,552419700,375807522,3143055,1344,27.28,5.51,109.3
16,375,139264,20977,482602972,199950,513482952,327642570,3175392,272,25.14,5.22,101.6
17,78,0,4923,391966602,129510,431955517,264728420,2579791,0,23.87,5.01,101.0
18,149,0,1575,341597858,131481,343701585,221253818,2191738,0,24.36,4.92,100.4
19,331,0,8745,489977203,196773,529089743,322509897,3145300,0,24.07,5.0,100.1
20,4299,0,95292,529167374,235658,574566386,373415924,3698791,0,26.61,5.25,99.7
21,1623,167936,76089,511210222,254340,594452159,415604642,4129246,328,29.03,5.35,100.2
22,257,0,8566,396716495,154738,453160663,280096540,2985439,0,23.64,5.07,100.7
23,201,0,36538,274814628,87184,292350814,206135505,1988791,0,23.68,5.07,100.2
24,5732,0,35577,382833123,154628,429514267,275289788,3327763,0,32.68,5.99,95.0
25,7937,0,105715,530127303,266688,622234819,473218709,4437603,0,34.01,5.71,125.0
26,882,339968,14035,388529716,149254,461989074,287628038,3471589,664,25.75,5.29,108.8
27,820,0,30992,320037656,150685,369172630,246404709,2457650,0,33.13,5.99,99.9
28,9292,0,97524,596784776,265887,628227451,455295386,3885825,0,28.96,5.47,121.9
29,221,0,11799,437510562,160051,450465612,294095803,2576623,0,23.61,5.09,101.6
30,10316,24002560,219350,626015529,282409,728623903,512713324,4941044,46880,29.31,5.58,101.3
31,1046,10002432,14230,371026282,137781,437936774,265909219,2266455,19536,24.43,5.22,101.8
32,1678,0,24555,388989181,165679,392655511,284195571,2772801,0,37.33,6.36,102.0
33,3583,0,131948,349937561,148960,394294992,279871049,3073866,0,40.46,6.75,130.4
34,10015,0,140928,402111354,174580,425656601,308719021,2960000,0,40.57,6.88,130.6
35,19897,774144,368328,515806510,198345,621879686,433529042,4787249,1512,40.53,7.0,130.8
36,9759,12382208,206300,425044681,227798,470334003,303409941,3830198,24184,40.5,6.85,130.9
37,1922,0,45089,355192200,147177,375178133,262259509,2902867,0,40.43,6.57,131.0
38,1379,2560,76686,410505479,180403,419065250,299528863,3134947,5,40.37,6.55,130.9
39,1403,512,51508,495967119,204411,504753036,378603215,3967213,1,40.35,6.46,130.7
40,19837,57344,106388,488260212,231501,510945546,379135435,3837537,112,40.37,6.66,130.7
41,1674,253952,53119,344623637,153447,370104438,250092026,3082617,496,40.44,6.69,130.7
42,1257,0,178590,681575011,343548,731904443,912909436,4847147,0,40.39,6.82,130.7
43,3246,0,225292,308353078,114913,345744483,231665909,2519368,0,40.53,6.84,130.8
44,5613,0,302436,404541560,138909,434161584,300087036,3209093,0,40.58,6.9,130.9
45,9335,0,329906,337991374,149871,364753600,280306830,2678955,0,40.51,6.99,131.1
46,12828,139264,85097,471077879,234462,501623990,343096160,4065983,272,40.39,6.75,131.2
47,12331,0,92018,356530372,148830,375746724,267206193,2873519,0,41.79,7.14,131.3
48,9922,0,208489,386902805,156755,407301638,274885434,3085645,0,41.93,8.09,131.8
49,12372,0,202266,394536917,162149,407569045,280182578,3028267,0,41.23,7.58,132.2
50,33384,0,308690,460774218,228291,479007645,358006747,3466161,0,42.16,7.33,132.4
51,15093,110592,217858,518632426,235702,530360646,366205844,3917809,216,41.45,7.8,132.6
52,5302,0,240345,445965224,210502,474347704,322735117,3675188,0,42.65,7.51,132.9
53,7280,0,222134,402503344,177901,430532249,282757658,3225624,0,41.42,7.72,133.1
54,7822,0,129664,301558529,115237,308727555,211094953,2392251,0,42.67,7.53,133.3
55,24348,0,267048,577946464,272163,626373998,437839822,4549526,0,41.08,7.41,133.5
56,2289,110592,306046,355567800,144129,386127040,270152933,2830896,216,42.67,7.55,133.6
57,8044,0,336854,447748928,159547,444171744,314019908,3352500,0,41.8,7.37,133.7
58,6603,0,310034,316385410,133259,355145023,245713281,2747963,0,42.76,7.42,133.8
59,10012,0,189555,312277018,119116,348561168,237423240,2558289,0,42.29,7.5,133.9
60,14108,0,366465,390587713,168813,464545390,301082583,3236135,0,42.18,7.59,134.1
61,13222,19570688,186779,318994741,133697,380264839,253783672,2679120,38224,42.25,7.36,134.3
62,10319,0,185762,333480313,145510,351526687,233693906,2797636,0,42.5,7.07,134.4
63,18927,0,155818,430240869,187809,458288607,308135835,3670854,0,42.69,7.22,134.3
64,14707,0,176446,359385851,164309,391242896,253250846,2994546,0,42.86,7.18,134.5
65,11040,0,453162,365316395,149149,458293241,344199791,3321043,0,43.05,7.19,134.5
66,13025,827392,196111,347139169,171917,369959490,251733328,2907819,1616,42.56,7.13,134.6
67,13199,12357632,159817,442515653,222290,483689799,326598647,3911238,24136,42.46,7.15,134.6
68,16011,0,178221,432291497,179779,443620148,311623764,3489483,0,42.75,6.95,134.7
69,9704,0,209104,382391324,150930,382464142,269605795,2799654,0,42.65,6.93,134.6
70,27212,0,326161,706841838,330266,757251598,557042397,5609022,0,42.27,6.61,134.5
71,3240,110592,275652,315939479,130737,391718489,242335914,3083771,216,42.93,6.82,134.5
72,8798,0,198779,300397972,132217,314505608,208518652,2376987,0,41.94,6.9,134.5
73,3048,0,110895,357990220,155245,405380245,284380930,3188001,0,41.41,5.81,134.2
74,6716,0,151869,308473277,131482,363205542,248870248,2612977,0,41.85,6.3,133.8
75,17353,0,299556,408127779,175342,493354006,376266350,3365050,0,41.98,6.73,133.8
76,1556,139264,264355,414999921,156792,459154864,320495809,3663420,272,41.4,5.99,133.6
77,10805,0,72615,295519786,139020,343995505,232263227,2753127,0,41.8,6.36,133.3
78,9749,0,133135,323362908,123604,351682206,245065456,2501874,0,41.97,6.71,133.2
79,4534,0,123387,348449248,165749,439202659,270448667,3406609,0,41.4,5.86,133.1
80,20727,0,132838,353786247,146260,373341086,300565666,3036572,0,41.98,6.46,132.8
81,5012,110592,265957,489025783,216955,530522191,356207569,4173280,216,41.93,6.72,133.0
82,3234,0,151681,458544117,178436,469717094,335681514,3653695,0,40.6,5.87,132.8
83,5966,0,52354,270208224,117539,327687236,222243214,2596121,0,40.58,5.89,132.5
